Name,Link,Categories,Pricing,Platforms,Tags,Descriptions
Giant Bomb,https://www.giantbomb.com/,News Outlet,,,,"The largest video game database online, Giant Bomb features Game Reviews, News, Videos, and Forums for the latest in PS4, Xbox One, PS3, Xbox 360, Wii, PSP, DS, 3DS, NGP, and more!"
PC Gamer,https://www.pcgamer.com/,News Outlet,,,,"PC Gamer is the global authority on PC games. We’ve been covering PC gaming for more than 20 years, and continue that legacy today with worldwide print editions and around-the-clock news, features, esports coverage, hardware testing and game reviews on PCGamer.com, as well as major yearly events including the PC Gaming Show at E3. "
Inside Gaming,https://roosterteeth.com/channel/inside-gaming,News Outlet,,,,"Rooster Teeth is your home for the best in gaming, comedy, and animation! Watch live and join us in chat, or stream new episodes and old favorites on demand from your home and mobile devices."
PC  Mag,https://www.pcmag.com/,News Outlet,,,,"PCMag is your complete guide to computers, peripherals and upgrades. We test and review tech products and services, report technology news and trends, and provide shopping advice with price comparisons."
Eurogamer,https://www.eurogamer.net/,News Outlet,,,,"Eurogamer.net was founded in September 1999 and has been covering video games ever since. The site began life with a PC focus and a keen interest in the competitive FPS scene of the time, but over the years it has grown to cover every aspect of gaming - PC, console, indie, board games and anything else that the team and the site's readers find interesting."
Game Zone,https://www.gamezone.com/,News Outlet,,,,"GameZone works to bring gamers everything there is to know about the game industry, from breaking game news to reviews and rumors. In addition to gaming, we bring relevant culture and entertainment news."
Destructoid,https://www.destructoid.com/,News Outlet,,,,"The latest gaming news, game reviews and trailers."
MCV/DEVELOP,https://www.mcvuk.com/,News Outlet,,,,"Games industry news and analysis covering development, publishing, platforms, marketing and retail | MCV/DEVELOP"
GameDaily.biz,https://gamedaily.biz/,News Outlet,,,,We Make Games Our Business
Game Industry News,https://www.gameindustry.com/,News Outlet,,,,"Game Industry News publishes independent reviews, editorials, news, stock market reports, interviews and podcasts every week on our website."
Games Press,https://www.gamespress.com/,News Outlet,,,,"Press releases and assets from across the games industry - screenshots, videos, logos, packshots, artwork, PR contacts, release dates"
GaymingMag,https://gaymingmag.com/,News Outlet,,,,The home of LGBTQ video game news on the internet
PC Games Insider,https://www.pcgamesinsider.biz/,News Outlet,,,,All the latest news about the business of PC games
PocketGamer.biz,https://www.pocketgamer.biz/,News Outlet,,,,"Mobile games industry news, discussion, analysis, opinion, events, jobs, and more"
VentureBeat,https://venturebeat.com/category/games/,News Outlet,,,,"The latest Games news, analysis, and insight from VentureBeat, the most authoritative source on transformative technology."
Video Games Chronicle,https://www.videogameschronicle.com/,News Outlet,,,,"VGC is the expert source for video games news. We deliver daily exclusive news, insight and critique to a knowledgeable audience who trust our coverage."
Vice,https://www.vice.com/en/section/games,News Outlet,,,,VICE is the definitive guide to enlightening information.
Wireframe,https://wireframe.raspberrypi.org/,"News Outlet, Magazine",,,,Wireframe: the fortnightly magazine that lifts the lid on video games
Bloomberg,https://www.bloomberg.com/topics/video-games,News Outlet,,,,"Video Games news, business analysis, commentary, long-form features, polling, original video, interactive graphics, and more from the nation&#39;s leading business commentators."
Shacknews,https://www.shacknews.com/,News Outlet,,,,"Video Game Video Reviews, Celebrity Interviews, Strategy Videos, Original Content and More"
IndieGameLover,https://www.indiegamelover.com/,News Outlet,,,,Indie Game Lover is here to provide admiration and inspiration through the love of indie games.
GameFAQs,https://gamefaqs.gamespot.com/,Aggregator,,,,"Video Games Database with Guides, Q&A, Boards, and Reviews"
Metacritic,https://www.metacritic.com/game,Aggregator,,,,"Metacritic aggregates music, game, tv, and movie reviews from the leading critics. Only Metacritic.com uses METASCORES, which let you know at a glance how each item was reviewed."
Submit,https://submit.co/,Aggregator,,,,List of News Outlets
Indie Games+,https://indiegamesplus.com/,News Outlet,,,,"Indie Games Plus - Creative, Personal, Passionate Digital Experiences"
